Name	Length	Accession	GI
Mycobacterium bouchedurhonense strain 4355387 RpoB	711	EF584445.1	157851024
Mycobacterium marseillense strain 5356591 RpoB	711	EF584434.1	157851003
Mycobacterium bacteremicum strain ATCC 25791	638	FJ172329.1	207690910
Mycobacterium marseillense strain 62863 RpoB	711	EF584444.1	167540464
Mycobacterium timonense strain 3256799 RpoB	711	EF584435.1	157851005
Mycobacterium sp. FI-7105 RNA polymerase	719	JN571269.1	355344061
Mycobacterium longobardum strain DSM 45394	719	JN571247.1	355344017
Mycobacterium heraklionense strain FI-05158 RNA	719	JN571232.1	355343987
Mycobacterium heraklionense strain NCTC 13432	719	JN571231.1	355343985
Mycobacterium virginiense strain MO-5116 RNA	724	KR025887.1	987312418
Mycobacterium virginiense strain MO-1300 RNA	724	KR025886.1	987312416
Mycobacterium virginiense strain MO-233 RNA	724	KR025885.1	987312414
Mycobacterium barrassiae CIP 108545 RNA	3927	AY859696.1	62720653
Mycobacterium conceptionense CIP 108544 RNA	3934	AY859695.1	62720651
Mycobacterium phocaicum CIP 108542 RNA	3918	AY859693.1	62720647
Mycobacterium bolletii CIP 108541 RNA	3839	AY859692.1	62720645
Mycobacterium sp. NE-TNMC-100812 RNA polymerase	3482	KX008971.1	1035933047
Mycobacterium saopaulense strain JAN2 RNA	711	KM973032.1	753220775
Mycobacterium saopaulense strain JAN1 RNA	711	KM973031.1	753220773
Mycobacterium saopaulense strain IAL 3785	711	KM973030.1	753220771
Mycobacterium saopaulense strain EPM10906 RNA	711	KM973029.1	753220769
Mycobacterium saopaulense strain EPM10695 RNA	711	KM973028.1	753220767
Mycobacterium neoaurum strain ATCC 25795	638	FJ172335.1	207690922
Mycobacterium vulneris strain NLA000700772 RNA	726	EU834057.1	194293710
Mycobacterium colombiense strain CIP 108962	711	EF521910.1	157004968
Mycobacterium parascrofulaceum strain BAA-614 RpoB	754	GU139240.1	268373733
Mycobacterium arosiense strain ATCC BAA-1401	745	GQ153312.1	243010755
Mycobacterium colombiense strain CIP108962 RpoB	745	GQ153308.1	243010747
Mycobacterium intracellulare ATCC 13950 RpoB	745	GQ153307.1	243010745
Mycobacterium avium subsp. avium ATCC	745	GQ153306.1	243010743
Mycobacterium simulans strain FI-09026 RNA	761	FJ786254.1	225348568
Mycobacterium sp. JAN2 RNA polymerase	680	DQ866801.1	115383178
Mycobacterium sp. JAN1 RNA polymerase	680	DQ866800.1	115383176
Mycobacterium salmoniphilum strain ATCC 13758	680	DQ866790.1	115383156
Mycobacterium europaeum strain DSM 45397	711	HM022215.1	295815630
Mycobacterium sp. FI-11038 RNA polymerase	719	JN571273.1	355344069
Mycobacterium sp. FI-05396 RNA polymerase	719	JN571272.1	355344067
Mycobacterium sp. FI-06258 RNA polymerase	719	JN571271.1	355344065
Mycobacterium sp. FI-09379 RNA polymerase	719	JN571270.1	355344063
Mycobacterium sp. FI-10193 RNA polymerase	719	JN571268.1	355344059
Mycobacterium sp. FI-07088 RNA polymerase	719	JN571267.1	355344057
Mycobacterium terrae strain CIP104321 RNA	725	JN571261.1	355344045
Mycobacterium kumamotonense strain DSM45093 RNA	719	JN571251.1	355344025
Mycobacterium longobardum strain DSM 45393	719	JN571248.1	355344019
Mycobacterium engbaekii strain ATCC 27353	719	JN571244.1	355344011
Mycobacterium heraklionense strain FI-06150 RNA	719	JN571236.1	355343995
Mycobacterium heraklionense strain FI-09376 RNA	719	JN571235.1	355343993
Mycobacterium heraklionense strain FI-06255 RNA	719	JN571234.1	355343991
Mycobacterium heraklionense strain FI-06082 RNA	719	JN571233.1	355343989
Mycobacterium heraklionense strain FI-06009 RNA	719	JN571230.1	355343983
Mycobacterium massiliense RpoB (rpoB) gene,	3843	AY593981.2	162286181
Mycobacterium kansasii ATCC 12478 DNA-directed	3516	KY933079.1	1335031325
Mycobacterium stephanolepidis rpoB gene for	677	LC008146.1	701462252
Mycobacterium arosiense strain T1921 rpoB	744	EU370532.1	169264488
Mycobacterium arceuilense strain 352 RNA	675	KP644749.1	819325434
Mycobacterium arceuilense strain 269 RNA	675	KP644748.1	819325432
Mycobacterium arceuilense strain 082 RNA	675	KP644747.1	819325430
Mycobacterium montmartrense strain 286 RNA	780	KP676925.1	815933415
Mycobacterium montmartrense strain 196 RNA	780	KP676920.1	815933413
Mycobacterium montmartrense strain 028 RNA	780	KP676915.1	815933411
Mycobacterium lutetiense strain 078 RNA	771	KP676910.1	815933409
Mycobacterium lutetiense strain 071 RNA	771	KP676905.1	815933407
Mycobacterium lutetiense strain 024 RNA	771	KP676900.1	815933405
Mycobacterium franklinii strain CV002 RNA	676	HQ153091.1	320090107
Mycobacterium sp. MO-4693 RNA polymerase	724	KR025890.1	987312424
Mycobacterium sp. MO-3559 RNA polymerase	724	KR025889.1	987312422
Mycobacterium sp. MO-2762 RNA polymerase	724	KR025888.1	987312420
Mycobacterium arupense strain ATCC BAA-1242	738	KT861786.1	987898843
Mycobacterium massiliense strain YMC11_55 RNA	501	JX041988.1	398359421
Mycobacterium massiliense strain YMC11_20 RNA	501	JX041987.1	398359419
Mycobacterium massiliense strain YMC11_10 RNA	501	JX041986.1	398359417
Mycobacterium massiliense strain CIP 108297	501	JX041985.1	398359415
Mycobacterium massiliense strain YMC11_18 RNA	501	JX041984.1	398359413
Mycobacterium massiliense strain YMC11_03 RNA	501	JX041983.1	398359411
Mycobacterium massiliense strain YMC11_06 RNA	501	JX041982.1	398359409
Mycobacterium massiliense strain YMC11_14 RNA	501	JX041981.1	398359407
Mycobacterium massiliense strain YMC11_02 RNA	501	JX041980.1	398359405
Mycobacterium massiliense strain YMC11_09 RNA	501	JX041979.1	398359403
Mycobacterium celeriflavum strain FI-10161 RNA	711	KJ586585.1	612176421
Mycobacterium iranicum strain M05 RNA	710	HQ009483.1	310877108
Mycobacterium algericum DSM 45454 RNA	2054	GU564406.1	289598457
Mycobacterium holsaticum CIP 107786 RNA	714	AY859705.1	62720671
Mycobacterium novocastrense CIP 105546 RNA	714	AY859704.1	62720669
Mycobacterium gadium CIP 105388 RNA	714	AY859703.1	62720667
Mycobacterium elephantis CIP 106831 RNA	714	AY859702.1	62720665
Mycobacterium pulveris CIP 106804 RNA	714	AY859701.1	62720663
Mycobacterium phlei CIP 105389 RNA	714	AY859700.1	62720661
Mycobacterium moriokaense CIP 105393 RNA	714	AY859699.1	62720659
Mycobacterium flavescens CIP 104533 RNA	714	AY859698.1	62720657
Mycobacterium alvei CIP 103464 RNA	723	AY859697.1	62720655
Mycobacterium aubagnense CIP 108543 RNA	3927	AY859694.1	62720649
Mycobacterium senegalense strain CIP 104941	3898	AY262738.1	34595748
Mycobacterium paraintracellulare strain MOTT64 RNA	711	KP890661.1	805308335
Mycobacterium paraintracellulare strain Asan 37128	711	KP890660.1	805308333
Mycobacterium paraintracellulare strain Asan 29591	711	KP890659.1	805308331
Mycobacterium massiliense strain FI-07134 rpoB	708	EU370524.1	169264486
Mycobacterium massiliense strain CIP 108297	711	EU254721.1	161015972
Mycobacterium massiliense isolate 538 RNA	671	EU220421.1	160337105
Mycobacterium massiliense strain INCQS 594	711	EU117207.1	157062991
Mycobacterium helvum strain JCM 30396	667	KM196106.1	672718468
Mycobacterium sarraceniae strain JCM 30395	558	KM196105.1	672718466
Mycobacterium aurum strain ATCC 23366	644	FJ172341.1	207692934
Mycobacterium sp. NLA001000736 strain 41UY	653	HM586100.1	336318021
Mycobacterium avium subsp. avium strain	711	EF521907.1	157004962
Mycobacterium avium subsp. silvaticum strain	711	EF521905.1	157004958
Mycobacterium heidelbergense strain DSM 44471	720	HM132044.1	299473870
Mycobacterium lacticola strain ATCC 9626	609	HM030494.1	296041314
Mycobacterium bacteremicum strain AR-25 RNA	612	HM011178.1	295814675
Mycobacterium bacteremicum strain AR-01 RNA	612	HM011177.1	295814673
Mycobacterium bacteremicum strain AR-08 RNA	612	HM011176.1	295814671
Mycobacterium bacteremicum strain AR-04 RNA	612	HM011175.1	295814669
Mycobacterium bacteremicum strain AR-19 RNA	612	HM011174.1	295814667
Mycobacterium bacteremicum strain MO-2842 RNA	612	HM011173.1	295814665
Mycobacterium bacteremicum strain MO-2886 RNA	612	HM011172.1	295814663
Mycobacterium bacteremicum strain MO-1875 RNA	612	HM011171.1	295814661
Mycobacterium bacteremicum strain MO-1171 RNA	612	HM011170.1	295814659
Mycobacterium bacteremicum strain MO-2218 RNA	612	HM011169.1	295814657
Mycobacterium malmoense strain ATCC 29571	754	GQ153314.1	243010759
Mycobacterium simiae strain ATCC 25275	745	GQ153313.1	243010757
Mycobacterium triplex strain ATCC 700071	745	GQ153311.1	243010753
Mycobacterium nebraskense strain ATCC BAA-837	745	GQ153310.1	243010751
Mycobacterium chimaera strain CIP107892 RpoB	745	GQ153309.1	243010749
Mycobacterium scrofulaceum strain ATCC 19981	754	GQ153305.1	243010741
Mycobacterium paraffinicum strain ATCC 12670	745	GQ153304.1	243010739
Mycobacterium intracellulare isolate 95-1760 RNA	705	AF060333.1	3133424
Mycobacterium intracellulare isolate 95-1761 RNA	705	AF060332.1	3133422
Mycobacterium fortuitum isolate 95A8183 RNA	705	AF060324.1	3133406
Mycobacterium scrofulaceum isolate M66 RNA	705	AF060298.1	3133354
Mycobacterium setense strain ABO-M06 RNA	690	EF138819.1	133872966
Mycobacterium abscessus subsp. bolletii strain	743	KU146533.1	1023529977
Mycobacterium angelicum strain DSM 45057	711	KT168289.1	927278143
Mycobacterium sp. FI-13041 RNA polymerase	710	KJ920346.1	681956687
Mycobacterium paraense strain FI-10043 RNA	720	KJ586587.1	612176425
Mycobacterium fortuitum strain ATCC 13756	689	DQ866802.1	115383180
Mycobacterium chelonae strain HU2 RNA	680	DQ866799.1	115383174
Mycobacterium chelonae strain HU1 RNA	680	DQ866798.1	115383172
Mycobacterium salmoniphilum strain AUS RNA	680	DQ866797.1	115383170
Mycobacterium salmoniphilum strain ELK RNA	680	DQ866796.1	115383168
Mycobacterium salmoniphilum strain TRA RNA	680	DQ866795.1	115383166
Mycobacterium salmoniphilum strain MON RNA	680	DQ866794.1	115383164
Mycobacterium salmoniphilum strain SIL RNA	605	DQ866793.1	115383162
Mycobacterium salmoniphilum strain BAN RNA	680	DQ866792.1	115383160
Mycobacterium salmoniphilum strain ATCC 13757	680	DQ866791.1	115383158
