Name	Length	Accession	GI
Mycobacterium timonense strain 5351974 heat	994	EU239792.1	171466780
Mycobacterium bouchedurhonense strain 4355387 heat	994	EU239790.1	171466776
Mycobacterium marseillense strain 5356591 heat	1462	EU239787.1	171466772
Mycobacterium abscessus subsp. bolletii hsp65	401	AB548601.1	315433461
Mycobacterium timonense strain 3256799 heat	994	EU239791.1	171466778
Mycobacterium marseillense strain 62863 heat	1462	EU239788.1	171466773
Mycobacterium bacteremicum strain ATCC 25791	402	FJ172314.1	207692940
Mycobacterium aromaticivorans strain JS19b1 65	417	DQ841182.1	111283528
Mycobacterium rufum strain JS14 65	417	DQ841181.1	111283526
Mycobacterium rutilum strain czh-117 65	417	DQ841180.1	111283524
Mycobacterium crocinum strain czh-42 65	417	DQ533998.1	108733427
Mycobacterium pallens strain czh-8 65	417	DQ533997.1	108733411
Mycobacterium barrassiae CIP 108545 65	477	AY859679.1	62240655
Mycobacterium conceptionense CIP 108544 65	477	AY859678.1	62240653
Mycobacterium phocaicum CIP 108542 65	441	AY859676.1	62240649
Mycobacterium bolletii CIP 108541 65	477	AY859675.1	62240647
Mycobacterium colombiense strain CIP 108962	1462	EU239785.1	171466770
Mycobacterium avium subsp. avium ATCC	994	EU239779.1	171466758
Mycobacterium saopaulense strain IAL 3785	401	KM973027.1	753220765
Mycobacterium saopaulense strain EPM10906 heat	401	KM973026.1	753220763
Mycobacterium saopaulense strain EPM10695 heat	401	KM973025.1	753220761
Mycobacterium neoaurum strain ATCC 25795	402	FJ172320.1	207692952
Mycobacterium massiliense heat shock protein	468	AY596465.1	48727560
Mycobacterium fortuitum strain CIP 104534	424	AY458072.1	42416842
Mycobacterium mageritense strain CIP 104973	424	AY458070.1	42416838
Mycobacterium septicum strain ATCC 700731	424	AY458066.1	42416830
Mycobacterium cosmeticum strain LTA-388 hsp65	441	AY449730.1	40019089
Mycobacterium nebraskense 65 kDa heat	424	AY368457.1	34420268
Mycobacterium parascrofulaceum strain BAA-614 65	441	AY337274.1	33392210
Mycobacterium colombiense strain CIP108962 Hsp65	401	GQ153298.1	243010727
Mycobacterium arosiense strain ATCC BAA-1401	401	GQ153297.1	243010725
Mycobacterium parascrofulaceum strain ATCC BAA-614	401	GQ153295.1	243010721
Mycobacterium intracellulare ATCC 13950 Hsp65	401	GQ153290.1	243010711
Mycobacterium avium subsp. avium ATCC	401	GQ153289.1	243010709
Mycobacterium canariasense Hsp65 (hsp65) gene,	421	AY255477.1	30267690
Mycobacterium sp. JAN2 heat shock	550	DQ866787.1	115383150
Mycobacterium sp. JAN1 heat shock	550	DQ866786.1	115383148
Mycobacterium salmoniphilum strain ATCC 13758	614	DQ866777.1	115383130
Mycobacterium chelonae ATCC 14472 65	441	FJ607870.1	224593518
Mycobacterium sp. IEC1808 65 kDa	644	KJ949039.1	698276685
Mycobacterium paraense strain IEC28 65	644	KJ949037.1	698276681
Mycobacterium paraense strain IEC24 65	644	KJ949036.1	698276679
Mycobacterium paraense strain IEC23 65	644	KJ949035.1	698276677
Mycobacterium europaeum strain DSM 45397	401	HM022220.1	295815642
Mycobacterium koreense strain 01-305 heat	603	JF271827.1	341573773
Mycobacterium parakoreense strain 299 heat	603	JF271824.1	341573771
Mycobacterium algericum DSM 45454 65	441	GU564405.1	289598455
Mycobacterium bolletii strain Asan30754 heat	401	EU732722.1	190364885
Mycobacterium massiliense strain RGM102 heat	401	EU732721.1	190364883
Mycobacterium pseudoshottsii hsp65 gene for	401	AB548711.1	306407941
Mycobacterium bolletii hsp65 gene for	401	AB548605.1	315433467
Mycobacterium kumamotonense hsp65 gene for	424	AB239920.1	111054064
Mycobacterium stephanolepidis hsp65 gene for	444	LC008145.2	1049479379
Mycobacterium arceuilense strain 352 65	696	KP644752.1	819325471
Mycobacterium arceuilense strain 269 65	694	KP644751.1	819325466
Mycobacterium arceuilense strain 082 65	705	KP644750.1	819325461
Mycobacterium montmartrense strain 286 65	704	KP676926.1	815933439
Mycobacterium montmartrense strain 196 65	704	KP676921.1	815933437
Mycobacterium montmartrense strain 028 65	704	KP676916.1	815933435
Mycobacterium lutetiense strain 078 65	692	KP676911.1	815933433
Mycobacterium lutetiense strain 071 65	692	KP676906.1	815933431
Mycobacterium lutetiense strain 024 65	692	KP676901.1	815933429
Mycobacterium mantenii strain NLA000401474 65	424	FJ232523.1	209483544
Mycobacterium rutilum strain czh-132 65	426	EU727188.1	190333391
Mycobacterium rutilum strain czh-107 65	426	EU727187.1	190333389
Mycobacterium septicum strain DSM 44393	401	JF491329.1	327493982
Mycobacterium arosiense strain DSM 45069	401	JF491321.1	327493966
Mycobacterium monacense strain DSM 44395	401	JF491320.1	327493964
Mycobacterium neoaurum strain ATCC 25795	401	JF491302.1	327493928
Mycobacterium kansasii ATCC 12478 GroEL	401	JF491300.1	327493924
Mycobacterium intracellulare ATCC 13950 GroEL	401	JF491299.1	327493922
Mycobacterium haemophilum strain ATCC 29548	401	JF491296.1	327493916
Mycobacterium fortuitum subsp. fortuitum strain	401	JF491295.1	327493914
Mycobacterium avium subsp. avium ATCC	401	JF491291.1	327493906
Mycobacterium abscessus ATCC 19977 GroEL	401	JF491290.1	327493904
Mycobacterium pseudoshottsii Hsp65 (hsp65) gene,	401	AY571788.1	45827654
Mycobacterium vanbaalenii 65 kDa heat	424	AY438091.1	38324672
Mycobacterium holsaticum 65 kDa heat	424	AY438084.1	38324658
Mycobacterium saskatchewanense strain NRCM 00-250	441	AY208858.1	37784497
Mycobacterium wolinskyi strain CIP 106348	424	AF547890.1	27502344
Mycobacterium caprae strain CIP 105776	424	AF547884.1	27502332
Mycobacterium septicum strain CIP 106642	424	AF547873.1	27502310
Mycobacterium neoaurum strain CIP 105387	424	AF547860.1	27502284
Mycobacterium mageritense strain CIP 104973	424	AF547853.1	27502270
Mycobacterium haemophilum strain CIP 105049	424	AF547841.1	27502246
Mycobacterium fortuitum subsp. fortuitum strain	424	AF547833.1	27502230
Mycobacterium avium subsp. silvaticum strain	424	AF547810.1	27502184
Mycobacterium sp. czh-101 65 kDa	417	DQ841179.1	111283522
